month,working_days,working_hours_total,working_hours_building_construction,working_hours_commercial_and_industrial_building_construction,working_hours_public_building_construction,working_hours_civil_engineering,working_hours_commercial_and_industrial_civil_engineering,working_hours_road_construction,working_hours_other_civil_engineering
Januar,21,1408,800,579,144,77,608,349,142
Februar,20,1470,819,571,169,78,651,367,165
MÃ¤rz,22,1702,901,628,179,94,801,450,210
April,19,1569,824,577,160,86,745,420,192
Mai,21,1693,880,621,171,88,814,436,235
Juni,21,1665,859,597,186,76,805,461,225
Juli,21,1562,819,565,181,73,743,392,211
August,23,1682,867,561,229,77,814,428,234
September,22,1746,899,633,187,80,847,464,240
Oktober,20,1648,861,595,189,76,787,420,224
November,22,1785,907,624,201,82,878,480,248
Dezember,21,1285,730,508,160,63,554,280,159
